num_rooms,square_footage,location_rating,price
5,2913,2,379581.0626047799
1,3485,5,333896.69066654716
4,3304,3,358752.3496612569
4,2501,3,358221.1305279149
4,887,5,346214.5898344994
2,3392,1,213485.48498050682
4,4515,1,295901.420139072
3,2003,4,332280.42573057
5,2428,1,324224.4983612231
1,4898,3,282797.6960408286
1,3585,1,174643.16833104027
5,3521,3,377075.3592182207
3,2383,2,268353.78001076897
2,529,1,184220.77193195457
1,4603,1,204666.36810671902
2,502,3,239882.09626039915
2,4984,1,233291.52673747035
1,2481,2,190610.5423508412
2,877,4,246048.15454166845
5,2064,4,416350.3905692513
4,2238,1,271769.94004436396
1,2050,4,251666.68896823836
4,4945,4,412134.41804601747
1,3346,4,248840.45290865182
3,823,3,266249.0703401184
4,4177,5,443713.7626538114
1,4778,2,260167.7536485115
2,4018,5,371276.00531312526
4,4943,4,400251.3071945287
4,3257,1,299304.85030079656
4,3521,3,367453.3444008112
1,3201,5,286330.65916418325
2,693,3,220929.76880960373
2,4845,1,221769.22208321225
2,3290,2,262349.76223730174
1,3228,3,226655.71233705894
3,1915,2,313269.8227316421
5,651,4,365091.4794411298
4,1855,4,351876.71448689274
4,1080,4,331089.88868661865
3,3126,4,351110.5239494035
5,4300,2,372546.2810825619
3,945,5,370558.1082479409
1,3027,4,237205.25572728412
1,1316,4,215215.37523832868
5,3553,5,430238.33958197146
1,3180,5,289882.00900949887
5,1117,4,341846.7119854191
2,2513,1,176522.72427414064
5,4621,5,506550.7709453562
2,4291,3,261799.2243731694
3,3325,2,273637.94631341303
3,3899,4,336532.13388944714
1,1490,4,200965.60862190282
2,718,3,230834.95181282362
2,1302,1,179868.54255478803
2,807,1,173180.47331129087
2,3377,5,364898.8075321848
4,680,2,309551.6468842326
4,2216,4,386603.491782558
3,4664,4,345304.85174716613
4,3571,3,332178.2808679194
1,4504,4,287015.7494446941
4,3978,3,400831.70468137687
5,3418,5,456708.406916083
2,3340,1,211328.72185485106
3,3923,3,293079.9440157962
5,1692,1,304460.262452715
4,4463,4,402626.55856400635
5,2277,2,336290.20877269306
5,4263,4,425582.9235030177
5,933,1,282689.933677402
4,1015,1,298054.86781927606
5,747,4,356904.8299911695
5,3577,2,343645.21828472853
5,1238,4,378758.124514475
1,4978,4,290346.4463903103
5,3348,1,352045.54437047866
4,2274,1,267772.46883568895
3,4416,3,311831.1642021946
1,2763,1,166537.58088449924
2,2489,2,236749.93754569563
2,2733,4,287191.0981424798
4,1839,1,266645.95654646837
1,1467,2,161229.4385146022
1,2206,2,184511.67143163655
2,4652,4,316539.55260959186
3,913,5,326275.56649623014
5,2722,3,375826.40083635546
3,2805,5,372794.42503874464
1,1187,5,276424.7968997791
4,4594,3,368782.30884713226
3,3414,2,238207.30625864497
3,2090,4,292059.54938732757
1,3855,2,240243.30801561775
2,3374,2,224409.2104560506
1,891,4,225924.537516479
3,4254,1,297755.6523628147
3,2500,4,324311.7115984387
4,2835,3,382235.9099004865
3,1014,3,263345.0770683283
4,3796,3,344915.6741403564
3,3423,2,250133.76674295575
2,1169,1,162168.33504037006
3,4057,2,315186.19115868135
4,3966,5,394070.1726217135
4,2445,4,384980.1581591971
4,4653,2,302603.0442551175
3,3020,5,332746.8083017962
4,3583,3,327028.33403710456
5,726,4,369356.21895905613
2,4183,5,305238.96740700153
3,3093,4,315398.2956015949
4,3951,2,334039.4280342653
2,3087,4,302009.14221518685
