feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,target
0.5,1.2,3.1,2.5,0.9,4.2,1.7,0.8,3.6,2.0,8.5
1.5,2.4,1.1,3.5,1.8,1.3,2.2,1.4,0.7,1.2,7.8
3.2,0.4,4.8,4.2,3.5,2.9,0.6,2.8,4.1,3.7,6.2
2.1,3.5,0.8,2.9,2.3,3.5,1.9,3.9,1.6,4.0,5.4
0.7,1.0,3.4,0.4,4.0,4.1,3.9,4.5,3.0,1.9,8.7
1.8,2.2,2.1,1.2,1.5,1.2,4.4,1.9,4.8,0.8,7.5
2.4,0.9,4.3,3.7,2.9,2.3,3.5,2.0,0.5,4.3,6.9
1.6,2.7,1.6,0.9,3.3,0.6,2.1,3.4,2.2,2.6,7.2
3.5,0.3,4.1,2.8,0.7,3.2,1.4,1.3,4.6,3.4,5.8
2.3,1.1,3.8,3.1,3.6,1.4,4.2,2.5,3.9,2.1,6.4
0.6,2.1,1.9,1.5,4.2,2.6,0.9,4.1,0.8,4.5,7.9
2.9,0.5,4.9,2.3,1.1,3.8,3.3,2.2,1.4,1.0,6.1
1.2,3.3,0.7,3.0,2.5,4.9,2.6,3.7,2.1,3.8,5.6
